давление 1E+5 Па.,   время 0 c.
давление 3,105E+1 Па.,   время 325 c.
давление 3,068E+1 Па.,   время 326 c.
давление 3,032E+1 Па.,   время 327 c.
давление 2,996E+1 Па.,   время 328 c.
давление 2,961E+1 Па.,   время 329 c.
давление 2,927E+1 Па.,   время 330 c.
давление 2,893E+1 Па.,   время 331 c.
давление 2,86E+1 Па.,   время 332 c.
давление 2,828E+1 Па.,   время 333 c.
давление 2,796E+1 Па.,   время 334 c.
давление 2,764E+1 Па.,   время 335 c.
давление 2,734E+1 Па.,   время 336 c.
давление 2,703E+1 Па.,   время 337 c.
давление 2,674E+1 Па.,   время 338 c.
давление 2,644E+1 Па.,   время 339 c.
давление 2,616E+1 Па.,   время 340 c.
давление 2,587E+1 Па.,   время 341 c.
давление 2,56E+1 Па.,   время 342 c.
давление 2,532E+1 Па.,   время 343 c.
давление 2,505E+1 Па.,   время 344 c.
давление 2,479E+1 Па.,   время 345 c.
давление 2,453E+1 Па.,   время 346 c.
давление 2,427E+1 Па.,   время 347 c.
давление 2,402E+1 Па.,   время 348 c.
давление 2,377E+1 Па.,   время 349 c.
давление 2,353E+1 Па.,   время 350 c.
давление 2,329E+1 Па.,   время 351 c.
давление 2,305E+1 Па.,   время 352 c.
давление 2,282E+1 Па.,   время 353 c.
давление 2,259E+1 Па.,   время 354 c.
давление 2,237E+1 Па.,   время 355 c.
давление 2,215E+1 Па.,   время 356 c.
давление 2,193E+1 Па.,   время 357 c.
давление 2,171E+1 Па.,   время 358 c.
давление 2,15E+1 Па.,   время 359 c.
давление 2,129E+1 Па.,   время 360 c.
давление 2,109E+1 Па.,   время 361 c.
давление 2,089E+1 Па.,   время 362 c.
давление 2,069E+1 Па.,   время 363 c.
давление 2,049E+1 Па.,   время 364 c.
давление 2,03E+1 Па.,   время 365 c.
давление 2,011E+1 Па.,   время 366 c.
давление 1,992E+1 Па.,   время 367 c.
давление 1,974E+1 Па.,   время 368 c.
давление 1,956E+1 Па.,   время 369 c.
давление 1,938E+1 Па.,   время 370 c.
давление 1,92E+1 Па.,   время 371 c.
давление 1,903E+1 Па.,   время 372 c.
давление 1,885E+1 Па.,   время 373 c.
давление 1,868E+1 Па.,   время 374 c.
давление 1,852E+1 Па.,   время 375 c.
давление 1,835E+1 Па.,   время 376 c.
давление 1,819E+1 Па.,   время 377 c.
давление 1,803E+1 Па.,   время 378 c.
давление 1,787E+1 Па.,   время 379 c.
давление 1,772E+1 Па.,   время 380 c.
давление 1,756E+1 Па.,   время 381 c.
давление 1,741E+1 Па.,   время 382 c.
давление 1,726E+1 Па.,   время 383 c.
давление 1,712E+1 Па.,   время 384 c.
давление 1,697E+1 Па.,   время 385 c.
давление 1,683E+1 Па.,   время 386 c.
давление 1,669E+1 Па.,   время 387 c.
давление 1,655E+1 Па.,   время 388 c.
давление 1,641E+1 Па.,   время 389 c.
давление 1,627E+1 Па.,   время 390 c.
давление 1,614E+1 Па.,   время 391 c.
давление 1,601E+1 Па.,   время 392 c.
давление 1,588E+1 Па.,   время 393 c.
давление 1,575E+1 Па.,   время 394 c.
давление 1,562E+1 Па.,   время 395 c.
давление 1,55E+1 Па.,   время 396 c.
давление 1,537E+1 Па.,   время 397 c.
давление 1,525E+1 Па.,   время 398 c.
давление 1,513E+1 Па.,   время 399 c.
давление 1,501E+1 Па.,   время 400 c.
давление 1,489E+1 Па.,   время 401 c.
давление 1,477E+1 Па.,   время 402 c.
давление 1,466E+1 Па.,   время 403 c.
давление 1,455E+1 Па.,   время 404 c.
давление 1,443E+1 Па.,   время 405 c.
давление 1,432E+1 Па.,   время 406 c.
давление 1,421E+1 Па.,   время 407 c.
давление 1,411E+1 Па.,   время 408 c.
давление 1,4E+1 Па.,   время 409 c.
давление 1,389E+1 Па.,   время 410 c.
давление 1,379E+1 Па.,   время 411 c.
давление 1,369E+1 Па.,   время 412 c.
давление 1,358E+1 Па.,   время 413 c.
давление 1,348E+1 Па.,   время 414 c.
давление 1,338E+1 Па.,   время 415 c.
давление 1,329E+1 Па.,   время 416 c.
давление 1,319E+1 Па.,   время 417 c.
давление 1,309E+1 Па.,   время 418 c.
давление 1,3E+1 Па.,   время 419 c.
давление 1,29E+1 Па.,   время 420 c.
давление 1,281E+1 Па.,   время 421 c.
давление 1,272E+1 Па.,   время 422 c.
давление 1,263E+1 Па.,   время 423 c.
давление 1,254E+1 Па.,   время 424 c.
давление 1,245E+1 Па.,   время 425 c.
давление 1,236E+1 Па.,   время 426 c.
давление 1,228E+1 Па.,   время 427 c.
давление 1,219E+1 Па.,   время 428 c.
давление 1,211E+1 Па.,   время 429 c.
давление 1,202E+1 Па.,   время 430 c.
давление 1,194E+1 Па.,   время 431 c.
давление 1,186E+1 Па.,   время 432 c.
давление 1,178E+1 Па.,   время 433 c.
давление 1,17E+1 Па.,   время 434 c.
давление 1,162E+1 Па.,   время 435 c.
давление 1,154E+1 Па.,   время 436 c.
давление 1,146E+1 Па.,   время 437 c.
давление 1,138E+1 Па.,   время 438 c.
